"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-4-19","164.99","166.02","166.39","164.08","54.66M","-1.22%"
"2024-4-18","167.03","168.26","168.62","166.57","35.34M","-0.62%"
"2024-4-17","168.07","169.39","170.62","168.05","43.01M","-0.77%"
"2024-4-16","169.38","172.95","173.75","168.28","72.65M","-1.92%"
"2024-4-15","172.69","175.36","176.63","172.50","73.13M","-2.19%"
"2024-4-12","176.55","174.26","178.36","174.21","101.67M","0.86%"
"2024-4-11","175.04","168.34","175.46","168.16","91.07M","4.33%"
"2024-4-10","167.78","168.80","169.09","167.11","49.71M","-1.11%"
"2024-4-9","169.67","168.70","170.08","168.35","42.45M","0.72%"
"2024-4-8","168.45","169.03","169.20","168.24","37.22M","-0.67%"
"2024-4-5","169.58","169.59","170.39","168.95","42.10M","0.45%"
"2024-4-4","168.82","170.29","171.92","168.82","53.70M","-0.49%"
"2024-4-3","169.65","168.79","170.68","168.58","47.69M","0.48%"
"2024-4-2","168.84","169.08","169.34","168.23","49.33M","-0.70%"
"2024-4-1","170.03","171.19","171.25","169.48","43.77M","-0.85%"
"2024-3-28","171.48","171.75","172.23","170.51","65.67M","-1.06%"
"2024-3-27","173.31","170.41","173.60","170.11","60.27M","2.12%"
"2024-3-26","169.71","170.00","171.42","169.58","57.39M","-0.67%"
"2024-3-25","170.85","170.57","171.94","169.45","54.29M","-0.83%"
"2024-3-22","172.28","171.76","173.05","170.06","71.16M","0.53%"
"2024-3-21","171.37","177.05","177.49","170.84","106.18M","-4.09%"
"2024-3-20","178.67","175.72","178.67","175.09","52.41M","1.47%"